"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","BL2-A","BL3-A","BL3-H","BL3-W","Event","VL1-A","VL1-H","VL1-W","VL3-A","VL3-H","VL3-W","Time"
2.49419e+06,2.38945e+06,36,2.80225e+06,2.83071e+06,62,6546,10497,4,4006,-69,46,0,198,5204,3030,0,2452,1793,0,0
3.7793e+06,3.35415e+06,45,4.69616e+06,4.29607e+06,74,10210,11143,8,4008,-44,64,0,199,2644,2050,0,2676,2908,0,0
2.31559e+06,2.22122e+06,34,3.5454e+06,3.47187e+06,63,4899,6687,0,120,-30,80,0,200,3224,2938,0,2180,1811,0,0
3.15995e+06,3.00084e+06,35,3.05211e+06,2.83102e+06,61,3359,9418,0,821,-375,0,0,204,7163,4478,0,1566,2614,0,0
2.42595e+06,2.31019e+06,31,4.41677e+06,4.41058e+06,53,-5262,10870,5,1329,-173,12,0,214,-975,2464,0,2288,1385,0,0
3.38263e+06,3.06781e+06,40,4.58235e+06,4.28462e+06,60,-1736,6581,0,1259,-217,3,0,217,4596,2633,0,3637,1904,0,0
3.19484e+06,2.985e+06,38,3.95196e+06,3.85279e+06,66,10135,9671,0,5270,-141,38,0,221,4397,3207,0,-773,1306,0,0
2.20419e+06,2.22609e+06,28,2.34595e+06,2.30643e+06,47,8261,18757,15,7833,19,56,0,223,16014,11548,7,985,1397,0,0
3.01641e+06,2.87808e+06,31,4.35755e+06,4.21695e+06,59,-11770,5744,0,3120,-167,11,0,224,5189,3624,0,2026,2376,0,0
3.49777e+06,3.17036e+06,41,4.58528e+06,4.27542e+06,70,12639,11317,6,4610,-139,18,0,225,6858,3323,0,2087,1637,0,0
2.56516e+06,2.45426e+06,34,3.01852e+06,2.95816e+06,58,14901,9281,0,-4226,-11697,0,0,226,2258,2606,0,1604,1267,0,0
2.97829e+06,2.70483e+06,34,3.70821e+06,3.54651e+06,55,-7015,8207,0,686,-1875,0,0,227,416,1859,0,4149,3164,0,0
3.36874e+06,3.06726e+06,38,4.58345e+06,4.09721e+06,65,2648,14658,14,-847,-124,20,0,228,505,2688,0,2002,1826,0,0
3.17914e+06,3.00468e+06,39,4.45065e+06,4.21504e+06,78,12231,14941,8,-1868,14679,3082,0,229,5248,3351,0,76,966,0,0
