"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","BL2-A","BL3-A","BL3-H","BL3-W","Event","VL1-A","VL1-H","VL1-W","VL3-A","VL3-H","VL3-W","Time"
2.51797e+06,2.47318e+06,35,2.12975e+06,1.83182e+06,72,9113,10297,2,2230,-5892,0,0,4903,61077,50521,23,1096,2569,0,9.30682
3.61749e+06,3.45452e+06,32,5.47782e+06,8.23979e+06,64,88075,100801,26,43871,32532,8082,0,5020,799424,715012,56,65196,58022,23,10.3409
3.91916e+06,3.43158e+06,40,5.46376e+06,8.22659e+06,70,165086,170362,34,86858,-31,68,0,5037,710102,624817,57,62542,52224,24,10.3409
4.22702e+06,3.67088e+06,44,5.08356e+06,8.3128e+06,68,6625,19174,20,16151,-173,49,0,5057,81090,67413,26,47569,41864,22,10.3409
3.73489e+06,3.34931e+06,46,3.70989e+06,2.95631e+06,65,46540,29551,42,15259,-240,35,0,5088,29360,13118,14,6295,3284,0,10.3409
1.93659e+06,1.90982e+06,25,2.61647e+06,2.47256e+06,51,3128,7510,0,4560,208,100,0,5097,36749,31497,20,2967,3072,0,10.3409
4.23714e+06,3.8385e+06,45,5.73628e+06,8.37688e+06,67,45543,54161,24,29032,-198,14,0,5102,268849,237419,39,44921,40505,20,10.3409
3.42869e+06,3.07817e+06,38,5.62622e+06,8.38553e+06,62,67676,68699,31,35712,-10642,0,0,5154,160638,137880,32,59080,51721,23,10.3409
2.22554e+06,2.16752e+06,33,2.00809e+06,1.91203e+06,60,746,11533,5,-1089,-131,83,0,5171,60500,54201,23,3366,4050,0,10.3409
2.85187e+06,2.77477e+06,37,2.2059e+06,2.12742e+06,59,-9856,6601,0,5775,-292,25,0,5188,73358,60067,24,6385,4625,0,10.3409
3.29338e+06,3.09589e+06,40,3.40647e+06,2.77865e+06,61,37184,28330,35,23219,-4624,0,0,5248,26905,12219,12,2842,3039,0,10.3409
2.58886e+06,2.52732e+06,37,2.07528e+06,2.01292e+06,58,5832,9011,0,6681,34233,7170,0,5297,87006,77472,25,7555,4568,0,10.3409
3.2558e+06,2.8004e+06,39,5.29277e+06,4.75093e+06,60,33467,42496,21,22275,-301,6,0,5357,28424,22414,19,32300,29336,18,10.3409
2.96421e+06,2.63885e+06,31,3.56759e+06,3.32779e+06,59,14205,25932,18,38848,-133,13,0,5384,34458,29177,20,50438,45161,21,10.3409
3.00139e+06,2.85908e+06,38,4.93777e+06,8.25185e+06,70,13200,19717,13,21251,-503,0,0,5405,71934,64553,24,40900,37063,20,10.3409
2.23512e+06,2.1395e+06,30,2.1941e+06,2.12982e+06,53,3376,8480,0,603,-63,39,0,5413,41474,34625,22,1718,2027,0,10.3409
4.41517e+06,3.62519e+06,55,5.14578e+06,8.29716e+06,79,62805,61679,36,44359,-35367,0,0,5433,166567,142791,36,69595,55985,24,11.375
3.30552e+06,3.10399e+06,40,4.4387e+06,8.2053e+06,68,5653,15414,13,11164,-133,39,0,5540,27389,25323,17,23164,21450,15,11.375
3.98358e+06,3.44677e+06,47,5.19848e+06,4.07856e+06,77,20950,19580,38,6930,-33629,0,0,5659,29649,14597,17,8721,5616,0,11.375
4.12724e+06,3.57221e+06,41,5.47355e+06,8.3708e+06,64,218614,216755,39,112312,753,228,0,5662,2.51409e+06,2.11915e+06,74,180576,154418,29,11.375
4.11086e+06,2.99381e+06,49,5.77865e+06,3.44343e+06,75,305373,352421,35,123707,-183,11,0,5688,51346,36542,28,17986,11673,9,11.375
2.45874e+06,2.2773e+06,32,3.2163e+06,3.0786e+06,54,1292,7342,0,3813,-123,65,0,5752,68493,56666,26,5220,4830,0,11.375
3.99279e+06,3.48134e+06,48,5.24301e+06,8.20121e+06,64,17903,22330,27,15968,-313,33,0,5780,28598,20610,19,20818,16550,15,11.375
4.00327e+06,3.44945e+06,42,5.60209e+06,8.32862e+06,69,149314,151771,43,80180,-115,45,0,5787,393443,338556,51,58025,49116,23,11.375
3.25046e+06,2.75918e+06,38,4.6062e+06,4.14765e+06,70,5630,7467,0,1563,-446,0,0,5820,29305,18257,19,4326,3737,0,11.375
3.69532e+06,3.32865e+06,38,4.25941e+06,3.83555e+06,67,19965,23891,18,15707,-125,37,0,5841,31014,24329,18,18723,17405,13,11.375
3.28722e+06,2.91516e+06,36,3.99445e+06,3.76185e+06,58,-10153,8828,0,2373,-273,13,0,5900,28571,21805,18,3514,5198,0,11.375
2.88971e+06,2.65942e+06,38,5.39015e+06,8.32784e+06,68,12361,32008,18,16705,-43,54,0,5902,230919,208118,34,51307,46452,22,11.375
3.70982e+06,3.35537e+06,44,3.53521e+06,3.35825e+06,69,-4506,4792,0,-4040,-15235,0,0,5907,31158,27869,19,2815,4279,0,11.375
2.47789e+06,2.41241e+06,34,2.2282e+06,2.01522e+06,67,3666,10282,3,3691,-90,39,0,5983,28549,21313,18,4625,2623,0,12.4091
2.52903e+06,2.32788e+06,32,2.34793e+06,2.25686e+06,55,-1565,16154,11,-8175,24,99,0,6056,39987,31667,21,3272,3256,0,12.4091
3.35277e+06,3.10638e+06,42,5.14601e+06,8.1903e+06,72,34667,29240,33,33505,-313,0,0,6069,66539,52782,24,43026,38901,20,12.4091
3.12204e+06,2.88801e+06,40,5.52563e+06,8.36782e+06,67,159485,172647,28,85595,-163,29,0,6094,1.04472e+06,961388,62,97512,87163,25,12.4091
2.96522e+06,2.74884e+06,35,5.26347e+06,8.25764e+06,65,10386,23489,14,17859,-29373,0,0,6174,68893,56792,24,37125,34277,20,12.4091
4.28651e+06,3.76446e+06,33,5.2133e+06,8.31128e+06,56,145964,149643,30,81335,4930,1408,0,6220,508148,421824,58,70145,58683,25,12.4091
2.11657e+06,2.05593e+06,29,2.49676e+06,2.22162e+06,56,12111,9948,0,1567,-1145,0,0,6287,77327,59084,27,3444,3376,0,12.4091
3.12281e+06,2.81244e+06,35,4.45895e+06,8.37866e+06,59,71720,84863,25,37596,-487,0,0,6467,138899,124849,27,26193,23002,17,13.4432
3.92989e+06,3.47311e+06,47,4.27042e+06,4.02827e+06,65,5370,16627,10,5160,10800,2266,0,6571,27288,26885,17,5714,4844,0,13.4432
3.13066e+06,3.11945e+06,30,3.81805e+06,3.47506e+06,51,254515,267399,46,105366,10627,2680,0,6644,2.10881e+06,1.93297e+06,63,125983,114724,26,13.4432
3.18171e+06,3.00267e+06,39,5.47345e+06,8.32422e+06,75,67392,65691,27,35120,13363,2850,0,6744,140539,131038,26,43796,40136,21,13.4432
3.69707e+06,3.29703e+06,38,4.71646e+06,8.25203e+06,65,4464,24813,15,22348,693,216,0,6769,212656,178134,35,82575,70648,26,13.4432
2.7642e+06,2.54501e+06,33,2.5348e+06,2.37751e+06,56,377,7316,0,563,12567,3122,0,6787,27058,21152,16,3005,2468,0,13.4432
